"geometry";"rivers";"model_type";"stat";"NCP";"X";"Y";"alt";"id"
"121";c(2968539.87188211, 2189128.81199318, 477);"Duero";"M2";"Est";2;2968539.87188211;2189128.81199318;477;"Upper_point"
"122";c(2969468.14616705, 2190422.10712317, 512);"Duero";"M2";"Low";2;2969468.14616705;2190422.10712317;512;"Upper_point"
"123";c(2967048.77954431, 2187500.77741616, 477);"Duero";"M2";"Up";2;2967048.77954431;2187500.77741616;477;"Upper_point"
"124";c(2908589.0064188, 2150561.05116545, 129);"Duero";"M2";"Est";2;2908589.0064188;2150561.05116545;129;"Lower_point"
"125";c(2911082.37714953, 2149913.7598913, 127);"Duero";"M2";"Low";2;2911082.37714953;2149913.7598913;127;"Lower_point"
"126";c(2906446.03333908, 2151997.96832943, 125);"Duero";"M2";"Up";2;2906446.03333908;2151997.96832943;125;"Lower_point"
"127";c(3303908.80673556, 2235619.9629385, 361);"Ebro";"M1";"Est";1;3303908.80673556;2235619.9629385;361;"Only_point"
"128";c(3302763.96719184, 2235444.95473162, 365);"Ebro";"M1";"Low";1;3302763.96719184;2235444.95473162;365;"Only_point"
"129";c(3305400.22755387, 2235117.10535355, 359);"Ebro";"M1";"Up";1;3305400.22755387;2235117.10535355;359;"Only_point"
"130";c(3206373.2713446, 2300292.23405105, 604);"Ebro";"M2";"Est";2;3206373.2713446;2300292.23405105;604;"Upper_point"
"131";c(3205381.57024183, 2300668.76806908, 602);"Ebro";"M2";"Low";2;3205381.57024183;2300668.76806908;602;"Upper_point"
"132";c(3207393.81919393, 2299668.58237462, 611);"Ebro";"M2";"Up";2;3207393.81919393;2299668.58237462;611;"Upper_point"
"133";c(3341403.48422168, 2209316.04448895, 287);"Ebro";"M2";"Est";2;3341403.48422168;2209316.04448895;287;"Lower_point"
"134";c(3340102.15797315, 2210385.93521935, 287);"Ebro";"M2";"Low";2;3340102.15797315;2210385.93521935;287;"Lower_point"
"135";c(3342756.50441466, 2208544.59406169, 288);"Ebro";"M2";"Up";2;3342756.50441466;2208544.59406169;288;"Lower_point"
"136";c(3678841.27977148, 2936145.4749588, 18);"Eure";"M1";"Est";1;3678841.27977148;2936145.4749588;18;"Only_point"
"137";c(3679256.27654029, 2935544.24488091, 19);"Eure";"M1";"Low";1;3679256.27654029;2935544.24488091;19;"Only_point"
"138";c(3679145.49531372, 2936873.23881003, 20);"Eure";"M1";"Up";1;3679145.49531372;2936873.23881003;20;"Only_point"
"139";c(3693797.26826892, 2854333.67002049, 120);"Eure";"M2";"Est";2;3693797.26826892;2854333.67002049;120;"Upper_point"
"140";c(3693043.95201979, 2853765.45699525, 120);"Eure";"M2";"Low";2;3693043.95201979;2853765.45699525;120;"Upper_point"
"141";c(3694423.67864302, 2855085.50666763, 119);"Eure";"M2";"Up";2;3694423.67864302;2855085.50666763;119;"Upper_point"
"142";c(3681674.39731557, 2948338.84703313, 6);"Eure";"M2";"Est";2;3681674.39731557;2948338.84703313;6;"Lower_point"
"143";c(3682108.95481388, 2948149.5630439, 6);"Eure";"M2";"Low";2;3682108.95481388;2948149.5630439;6;"Lower_point"
"144";c(3681239.44728643, 2948451.4742368, 7);"Eure";"M2";"Up";2;3681239.44728643;2948451.4742368;7;"Lower_point"
"145";c(3555642.93615015, 2261599.55655285, 443);"Garonne";"M1";"Est";1;3555642.93615015;2261599.55655285;443;"Only_point"
"146";c(3555939.83176991, 2260901.99948538, 444);"Garonne";"M1";"Low";1;3555939.83176991;2260901.99948538;444;"Only_point"
"147";c(3555305.11248251, 2262113.0098955, 441);"Garonne";"M1";"Up";1;3555305.11248251;2262113.0098955;441;"Only_point"
"148";c(3562256.85532401, 2237741.31076287, 620);"Garonne";"M2";"Est";2;3562256.85532401;2237741.31076287;620;"Upper_point"
"149";c(3562024.67262046, 2237585.74205553, 622);"Garonne";"M2";"Low";2;3562024.67262046;2237585.74205553;622;"Upper_point"
"150";c(3562497.16087781, 2237743.00672131, 633);"Garonne";"M2";"Up";2;3562497.16087781;2237743.00672131;633;"Upper_point"
"151";c(3629203.88683885, 2312240.66118597, 134);"Garonne";"M2";"Est";2;3629203.88683885;2312240.66118597;134;"Lower_point"
"152";c(3629079.17896701, 2310852.11262179, 136);"Garonne";"M2";"Low";2;3629079.17896701;2310852.11262179;136;"Lower_point"
"153";c(3629114.60830448, 2313561.31521543, 134);"Garonne";"M2";"Up";2;3629114.60830448;2313561.31521543;134;"Lower_point"
"154";c(3039315.57665771, 1698904.57944708, 316);"Genil";"M1";"Est";1;3039315.57665771;1698904.57944708;316;"Only_point"
"155";c(3040728.3908369, 1699676.3912905, 329);"Genil";"M1";"Low";1;3040728.3908369;1699676.3912905;329;"Only_point"
"156";c(3037724.86110697, 1698892.94957402, 317);"Genil";"M1";"Up";1;3037724.86110697;1698892.94957402;317;"Only_point"
"157";c(3111563.49375107, 1673378.23443108, 681);"Genil";"M2";"Est";2;3111563.49375107;1673378.23443108;681;"Upper_point"
"158";c(3111736.1396637, 1673277.27798862, 676);"Genil";"M2";"Low";2;3111736.1396637;1673277.27798862;676;"Upper_point"
"159";c(3111481.61006789, 1673434.86491434, 677);"Genil";"M2";"Up";2;3111481.61006789;1673434.86491434;677;"Upper_point"
"160";c(3001728.67751156, 1727750.52294599, 127);"Genil";"M2";"Est";2;3001728.67751156;1727750.52294599;127;"Lower_point"
"161";c(3002408.85989891, 1726948.746221, 131);"Genil";"M2";"Low";2;3002408.85989891;1726948.746221;131;"Lower_point"
"162";c(3001356.59963325, 1728728.91116716, 123);"Genil";"M2";"Up";2;3001356.59963325;1728728.91116716;123;"Lower_point"
"163";c(3171640.16614159, 1761067.46754788, 412);"Guadalquivir";"M1";"Est";1;3171640.16614159;1761067.46754788;412;"Only_point"
"164";c(3172141.47544471, 1761627.24718739, 416);"Guadalquivir";"M1";"Low";1;3172141.47544471;1761627.24718739;416;"Only_point"
"165";c(3170855.20446228, 1761582.51853212, 413);"Guadalquivir";"M1";"Up";1;3170855.20446228;1761582.51853212;413;"Only_point"
"166";c(3190833.0781916, 1758229.1380063, 651);"Guadalquivir";"M2";"Est";2;3190833.0781916;1758229.1380063;651;"Upper_point"
"167";c(3190441.5457143, 1757938.61957359, 655);"Guadalquivir";"M2";"Low";2;3190441.5457143;1757938.61957359;655;"Upper_point"
"168";c(3191158.77949135, 1758381.09116005, 643);"Guadalquivir";"M2";"Up";2;3191158.77949135;1758381.09116005;643;"Upper_point"
"169";c(3121198.89984463, 1760823.41250913, 258);"Guadalquivir";"M2";"Est";2;3121198.89984463;1760823.41250913;258;"Lower_point"
"170";c(3121832.97180932, 1759590.97565039, 262);"Guadalquivir";"M2";"Low";2;3121832.97180932;1759590.97565039;262;"Lower_point"
"171";c(3120309.99273382, 1759441.24913356, 253);"Guadalquivir";"M2";"Up";2;3120309.99273382;1759441.24913356;253;"Lower_point"
"172";c(4127159.7275804, 2766663.01361068, 196);"Ill";"M1";"Est";1;4127159.7275804;2766663.01361068;196;"Only_point"
"173";c(4126895.05914734, 2766032.74122623, 199);"Ill";"M1";"Low";1;4126895.05914734;2766032.74122623;199;"Only_point"
"174";c(4127273.47923711, 2767351.87334684, 195);"Ill";"M1";"Up";1;4127273.47923711;2767351.87334684;195;"Only_point"
"175";c(4115455.28936004, 2731453.00606163, 261);"Ill";"M2";"Est";3;4115455.28936004;2731453.00606163;261;"Upper_point"
"176";c(4115600.84497491, 2731211.73982371, 264);"Ill";"M2";"Low";3;4115600.84497491;2731211.73982371;264;"Upper_point"
"177";c(4115376.09346663, 2731654.80292153, 263);"Ill";"M2";"Up";3;4115376.09346663;2731654.80292153;263;"Upper_point"
"178";c(4156422.71651132, 2836068.23425575, 136);"Ill";"M2";"Est";3;4156422.71651132;2836068.23425575;136;"Lower_point"
"179";c(4156219.59147165, 2834995.63975676, 137);"Ill";"M2";"Low";3;4156219.59147165;2834995.63975676;137;"Lower_point"
"180";c(4157469.02682998, 2836274.56454324, 138);"Ill";"M2";"Up";3;4157469.02682998;2836274.56454324;138;"Lower_point"
"181";c(4447186.6130281, 2802459.77342077, 461);"Isar";"M1";"Est";2;4447186.6130281;2802459.77342077;461;"Only_point"
"182";c(4447056.51061132, 2801995.08732704, 464);"Isar";"M1";"Low";2;4447056.51061132;2801995.08732704;464;"Only_point"
"183";c(4447553.39498241, 2802794.21753592, 462);"Isar";"M1";"Up";2;4447553.39498241;2802794.21753592;462;"Only_point"
"184";c(4437249.59779528, 2778617.39741159, 522);"Isar";"M2";"Est";4;4437249.59779528;2778617.39741159;522;"Upper_point"
"185";c(4436776.54799186, 2778195.18598749, 521);"Isar";"M2";"Low";4;4436776.54799186;2778195.18598749;521;"Upper_point"
"186";c(4437160.25016596, 2779298.30552684, 526);"Isar";"M2";"Up";4;4437160.25016596;2779298.30552684;526;"Upper_point"
"187";c(4514246.88289779, 2842148.64893877, 342);"Isar";"M2";"Est";4;4514246.88289779;2842148.64893877;342;"Lower_point"
"188";c(4512576.62788352, 2841469.68939557, 346);"Isar";"M2";"Low";4;4512576.62788352;2841469.68939557;346;"Lower_point"
"189";c(4515975.3429062, 2842572.11365303, 342);"Isar";"M2";"Up";4;4515975.3429062;2842572.11365303;342;"Lower_point"
"190";c(3865382.53908941, 2487486.17733738, 432);"Loire";"M1";"Est";1;3865382.53908941;2487486.17733738;432;"Only_point"
"191";c(3864665.24395104, 2486816.716057, 439);"Loire";"M1";"Low";1;3864665.24395104;2486816.716057;439;"Only_point"
"192";c(3865712.32151217, 2488282.87106603, 447);"Loire";"M1";"Up";1;3865712.32151217;2488282.87106603;447;"Only_point"
"193";c(3838988.7573997, 2451304.81061876, 666);"Loire";"M2";"Est";2;3838988.7573997;2451304.81061876;666;"Upper_point"
"194";c(3839019.49431049, 2450811.84505559, 649);"Loire";"M2";"Low";2;3839019.49431049;2450811.84505559;649;"Upper_point"
"195";c(3838831.37084992, 2451670.53019695, 666);"Loire";"M2";"Up";2;3838831.37084992;2451670.53019695;666;"Upper_point"
"196";c(3864674.83717125, 2571789.55382895, 252);"Loire";"M2";"Est";2;3864674.83717125;2571789.55382895;252;"Lower_point"
"197";c(3864943.01084814, 2570588.49160464, 258);"Loire";"M2";"Low";2;3864943.01084814;2570588.49160464;258;"Lower_point"
"198";c(3864405.63702474, 2573057.37668057, 257);"Loire";"M2";"Up";2;3864405.63702474;2573057.37668057;257;"Lower_point"
"199";c(3726687.73362097, 2422527.06660921, 230);"Lot";"M1";"Est";1;3726687.73362097;2422527.06660921;230;"Only_point"
"200";c(3727483.62030454, 2422718.04559667, 224);"Lot";"M1";"Low";1;3727483.62030454;2422718.04559667;224;"Only_point"
"201";c(3726060.20683639, 2422312.21623322, 217);"Lot";"M1";"Up";1;3726060.20683639;2422312.21623322;217;"Only_point"
"202";c(3806440.11102482, 2402813.1820637, 744);"Lot";"M2";"Est";3;3806440.11102482;2402813.1820637;744;"Upper_point"
"203";c(3806732.0310293, 2402814.98943465, 748);"Lot";"M2";"Low";3;3806732.0310293;2402814.98943465;748;"Upper_point"
"204";c(3806275.32968929, 2402574.3478673, 733);"Lot";"M2";"Up";3;3806275.32968929;2402574.3478673;733;"Upper_point"
"205";c(3721455.21227432, 2422759.94311457, 219);"Lot";"M2";"Est";3;3721455.21227432;2422759.94311457;219;"Lower_point"
"206";c(3721641.20868986, 2423062.69621429, 210);"Lot";"M2";"Low";3;3721641.20868986;2423062.69621429;210;"Lower_point"
"207";c(3721032.70481619, 2422496.5389174, 211);"Lot";"M2";"Up";3;3721032.70481619;2422496.5389174;211;"Lower_point"
"208";c(4040497.61063842, 3129653.91341811, 13);"Maas";"M1";"Est";1;4040497.61063842;3129653.91341811;13;"Only_point"
