"geometry";"rivers";"model_type";"stat";"X";"Y";"alt";"id"
"123";c(2967048.77954431, 2187500.77741616, 477);"Duero";"M2";"Up";2967048.77954431;2187500.77741616;477;"Upper_point"
"124";c(2908589.0064188, 2150561.05116545, 129);"Duero";"M2";"Est";2908589.0064188;2150561.05116545;129;"Lower_point"
"125";c(2911082.37714953, 2149913.7598913, 127);"Duero";"M2";"Low";2911082.37714953;2149913.7598913;127;"Lower_point"
"126";c(2906446.03333908, 2151997.96832943, 125);"Duero";"M2";"Up";2906446.03333908;2151997.96832943;125;"Lower_point"
"127";c(3303908.80673556, 2235619.9629385, 361);"Ebro";"M1";"Est";3303908.80673556;2235619.9629385;361;"Only_point"
"128";c(3302763.96719184, 2235444.95473162, 365);"Ebro";"M1";"Low";3302763.96719184;2235444.95473162;365;"Only_point"
"129";c(3305400.22755387, 2235117.10535355, 359);"Ebro";"M1";"Up";3305400.22755387;2235117.10535355;359;"Only_point"
"130";c(3206373.2713446, 2300292.23405105, 604);"Ebro";"M2";"Est";3206373.2713446;2300292.23405105;604;"Upper_point"
"131";c(3205381.57024183, 2300668.76806908, 602);"Ebro";"M2";"Low";3205381.57024183;2300668.76806908;602;"Upper_point"
"132";c(3207393.81919393, 2299668.58237462, 611);"Ebro";"M2";"Up";3207393.81919393;2299668.58237462;611;"Upper_point"
"133";c(3341403.48422168, 2209316.04448895, 287);"Ebro";"M2";"Est";3341403.48422168;2209316.04448895;287;"Lower_point"
"134";c(3340102.15797315, 2210385.93521935, 287);"Ebro";"M2";"Low";3340102.15797315;2210385.93521935;287;"Lower_point"
"135";c(3342756.50441466, 2208544.59406169, 288);"Ebro";"M2";"Up";3342756.50441466;2208544.59406169;288;"Lower_point"
"136";c(3698986.91407432, 2858750.46408819, 113);"Eure";"M1";"Est";3698986.91407432;2858750.46408819;113;"Only_point"
"137";c(3698057.60723134, 2857993.89422692, 113);"Eure";"M1";"Low";3698057.60723134;2857993.89422692;113;"Only_point"
"138";c(3699962.66910356, 2859012.89139993, 111);"Eure";"M1";"Up";3699962.66910356;2859012.89139993;111;"Only_point"
"139";c(3679482.08635547, 2852261.81752937, 153);"Eure";"M2";"Est";3679482.08635547;2852261.81752937;153;"Upper_point"
"140";c(3678214.41834288, 2852811.3738212, 154);"Eure";"M2";"Low";3678214.41834288;2852811.3738212;154;"Upper_point"
"141";c(3680355.95471965, 2851181.29235208, 150);"Eure";"M2";"Up";3680355.95471965;2851181.29235208;150;"Upper_point"
"142";c(3692608.66308369, 2879008.11087518, 84);"Eure";"M2";"Est";3692608.66308369;2879008.11087518;84;"Lower_point"
"143";c(3693320.25007931, 2876936.50064855, 90);"Eure";"M2";"Low";3693320.25007931;2876936.50064855;90;"Lower_point"
"144";c(3691334.91190985, 2880445.2721204, 84);"Eure";"M2";"Up";3691334.91190985;2880445.2721204;84;"Lower_point"
"145";c(3555642.93615015, 2261599.55655285, 443);"Garonne";"M1";"Est";3555642.93615015;2261599.55655285;443;"Only_point"
"146";c(3555939.83176991, 2260901.99948538, 444);"Garonne";"M1";"Low";3555939.83176991;2260901.99948538;444;"Only_point"
"147";c(3555305.11248251, 2262113.0098955, 441);"Garonne";"M1";"Up";3555305.11248251;2262113.0098955;441;"Only_point"
"148";c(3562256.85532401, 2237741.31076287, 620);"Garonne";"M2";"Est";3562256.85532401;2237741.31076287;620;"Upper_point"
"149";c(3562024.67262046, 2237585.74205553, 622);"Garonne";"M2";"Low";3562024.67262046;2237585.74205553;622;"Upper_point"
"150";c(3562497.16087781, 2237743.00672131, 633);"Garonne";"M2";"Up";3562497.16087781;2237743.00672131;633;"Upper_point"
"151";c(3629203.88683885, 2312240.66118597, 134);"Garonne";"M2";"Est";3629203.88683885;2312240.66118597;134;"Lower_point"
"152";c(3629079.17896701, 2310852.11262179, 136);"Garonne";"M2";"Low";3629079.17896701;2310852.11262179;136;"Lower_point"
